EventTime,Origin,Destination,replicate,Continent_origin,Continent_dest,date,month,Region_origin,Region_dest,biweek,Region_origin2,Region_dest2
2021.12056,Democratic Republic of the Congo,Angola,1,,Africa,2021-02-14,2021-02-01,,Southern Africa,2021-02-07,,Southern Africa
2021.12056,South Africa,Angola,1,Africa,Africa,2021-02-14,2021-02-01,Southern Africa,Southern Africa,2021-02-07,Southern Africa,Southern Africa
2021.13154,Portugal,Angola,1,Europe,Africa,2021-02-18,2021-02-01,Western Europe,Southern Africa,2021-02-07,Western Europe,Southern Africa
2021.1324,South Africa,Angola,1,Africa,Africa,2021-02-18,2021-02-01,Southern Africa,Southern Africa,2021-02-07,Southern Africa,Southern Africa
2021.13482,Benin,Angola,1,Africa,Africa,2021-02-19,2021-02-01,Western Africa,Southern Africa,2021-02-07,Western Africa,Southern Africa
2021.137,South Africa,Angola,1,Africa,Africa,2021-02-20,2021-02-01,Southern Africa,Southern Africa,2021-02-07,Southern Africa,Southern Africa
2021.137,South Africa,Angola,1,Africa,Africa,2021-02-20,2021-02-01,Southern Africa,Southern Africa,2021-02-07,Southern Africa,Southern Africa
2021.13951,South Africa,Angola,1,Africa,Africa,2021-02-20,2021-02-01,Southern Africa,Southern Africa,2021-02-07,Southern Africa,Southern Africa
2021.14347,Zimbabwe,Angola,1,Africa,Africa,2021-02-22,2021-02-01,Southern Africa,Southern Africa,2021-02-21,Southern Africa,Southern Africa
2021.14519,Portugal,Angola,1,Europe,Africa,2021-02-22,2021-02-01,Western Europe,Southern Africa,2021-02-21,Western Europe,Southern Africa
2021.14521,Czech Republic,Angola,1,,Africa,2021-02-23,2021-02-01,,Southern Africa,2021-02-21,,Southern Africa
2021.14668,South Africa,Angola,1,Africa,Africa,2021-02-23,2021-02-01,Southern Africa,Southern Africa,2021-02-21,Southern Africa,Southern Africa
2021.1477,Republic of the Congo,Angola,1,,Africa,2021-02-23,2021-02-01,,Southern Africa,2021-02-21,,Southern Africa
2021.15258,Benin,Angola,1,Africa,Africa,2021-02-25,2021-02-01,Western Africa,Southern Africa,2021-02-21,Western Africa,Southern Africa
2021.16215,Zimbabwe,Angola,1,Africa,Africa,2021-03-01,2021-03-01,Southern Africa,Southern Africa,2021-02-21,Southern Africa,Southern Africa
2021.16439,South Africa,Angola,1,Africa,Africa,2021-03-02,2021-03-01,Southern Africa,Southern Africa,2021-02-21,Southern Africa,Southern Africa
2021.16713,South Africa,Angola,1,Africa,Africa,2021-03-03,2021-03-01,Southern Africa,Southern Africa,2021-02-21,Southern Africa,Southern Africa
2021.16715,Zimbabwe,Angola,1,Africa,Africa,2021-03-03,2021-03-01,Southern Africa,Southern Africa,2021-02-21,Southern Africa,Southern Africa
2021.17367,Portugal,Angola,1,Europe,Africa,2021-03-05,2021-03-01,Western Europe,Southern Africa,2021-02-21,Western Europe,Southern Africa
2021.17769,South Africa,Angola,1,Africa,Africa,2021-03-06,2021-03-01,Southern Africa,Southern Africa,2021-02-21,Southern Africa,Southern Africa
2021.18064,Republic of the Congo,Angola,1,,Africa,2021-03-07,2021-03-01,,Southern Africa,2021-03-07,,Southern Africa
2021.18797,Republic of the Congo,Angola,1,,Africa,2021-03-10,2021-03-01,,Southern Africa,2021-03-07,,Southern Africa
2021.18904,South Africa,Angola,1,Africa,Africa,2021-03-10,2021-03-01,Southern Africa,Southern Africa,2021-03-07,Southern Africa,Southern Africa
2021.18906,South Africa,Angola,1,Africa,Africa,2021-03-11,2021-03-01,Southern Africa,Southern Africa,2021-03-07,Southern Africa,Southern Africa
2021.19902,South Africa,Angola,1,Africa,Africa,2021-03-14,2021-03-01,Southern Africa,Southern Africa,2021-03-07,Southern Africa,Southern Africa
2021.211,South Africa,Angola,1,Africa,Africa,2021-03-19,2021-03-01,Southern Africa,Southern Africa,2021-03-07,Southern Africa,Southern Africa
2021.21648,Benin,Angola,1,Africa,Africa,2021-03-21,2021-03-01,Western Africa,Southern Africa,2021-03-21,Western Africa,Southern Africa
2021.22193,Brazil,Angola,1,South America,Africa,2021-03-23,2021-03-01,Brazil,Southern Africa,2021-03-21,Brazil,Southern Africa
2021.22468,South Africa,Angola,1,Africa,Africa,2021-03-24,2021-03-01,Southern Africa,Southern Africa,2021-03-21,Southern Africa,Southern Africa
2021.22742,South Africa,Angola,1,Africa,Africa,2021-03-25,2021-03-01,Southern Africa,Southern Africa,2021-03-21,Southern Africa,Southern Africa
2021.23836,Portugal,Angola,1,Europe,Africa,2021-03-29,2021-03-01,Western Europe,Southern Africa,2021-03-21,Western Europe,Southern Africa
2021.23837,Guinea,Angola,1,Africa,Africa,2021-03-29,2021-03-01,Western Africa,Southern Africa,2021-03-21,Western Africa,Southern Africa
2021.24384,Australia,Angola,1,Australia,Africa,2021-03-31,2021-03-01,Oceania,Southern Africa,2021-03-21,Oceania,Southern Africa
2021.24388,Benin,Angola,1,Africa,Africa,2021-03-31,2021-03-01,Western Africa,Southern Africa,2021-03-21,Western Africa,Southern Africa
2021.24659,Portugal,Angola,1,Europe,Africa,2021-04-01,2021-04-01,Western Europe,Southern Africa,2021-03-21,Western Europe,Southern Africa
2021.25205,Portugal,Angola,1,Europe,Africa,2021-04-02,2021-04-01,Western Europe,Southern Africa,2021-03-21,Western Europe,Southern Africa
2021.25797,Portugal,Angola,1,Europe,Africa,2021-04-05,2021-04-01,Western Europe,Southern Africa,2021-04-04,Western Europe,Southern Africa
2021.27409,Australia,Angola,1,Australia,Africa,2021-04-11,2021-04-01,Oceania,Southern Africa,2021-04-04,Oceania,Southern Africa
2021.27946,Democratic Republic of the Congo,Angola,1,,Africa,2021-04-13,2021-04-01,,Southern Africa,2021-04-04,,Southern Africa
2021.28437,Namibia,Angola,1,Africa,Africa,2021-04-14,2021-04-01,Southern Africa,Southern Africa,2021-04-04,Southern Africa,Southern Africa
2021.28767,USA,Angola,1,,Africa,2021-04-15,2021-04-01,,Southern Africa,2021-04-04,,Southern Africa
2021.28769,Portugal,Angola,1,Europe,Africa,2021-04-16,2021-04-01,Western Europe,Southern Africa,2021-04-04,Western Europe,Southern Africa
2021.29315,Portugal,Angola,1,Europe,Africa,2021-04-17,2021-04-01,Western Europe,Southern Africa,2021-04-04,Western Europe,Southern Africa
2021.29589,South Africa,Angola,1,Africa,Africa,2021-04-18,2021-04-01,Southern Africa,Southern Africa,2021-04-18,Southern Africa,Southern Africa
2021.31416,South Africa,Angola,1,Africa,Africa,2021-04-25,2021-04-01,Southern Africa,Southern Africa,2021-04-18,Southern Africa,Southern Africa
2021.33331,Australia,Angola,1,Australia,Africa,2021-05-02,2021-05-01,Oceania,Southern Africa,2021-05-02,Oceania,Southern Africa
2021.33974,Portugal,Angola,1,Europe,Africa,2021-05-05,2021-05-01,Western Europe,Southern Africa,2021-05-02,Western Europe,Southern Africa
2021.35786,Namibia,Angola,1,Africa,Africa,2021-05-11,2021-05-01,Southern Africa,Southern Africa,2021-05-02,Southern Africa,Southern Africa
2021.37,Namibia,Angola,1,Africa,Africa,2021-05-16,2021-05-01,Southern Africa,Southern Africa,2021-05-16,Southern Africa,Southern Africa
2021.38996,Zambia,Angola,1,Africa,Africa,2021-05-23,2021-05-01,Southern Africa,Southern Africa,2021-05-16,Southern Africa,Southern Africa
2021.41467,Democratic Republic of the Congo,Angola,1,,Africa,2021-06-01,2021-06-01,,Southern Africa,2021-05-30,,Southern Africa
2021.45479,Zambia,Angola,1,Africa,Africa,2021-06-15,2021-06-01,Southern Africa,Southern Africa,2021-06-13,Southern Africa,Southern Africa
2021.46301,Portugal,Angola,1,Europe,Africa,2021-06-18,2021-06-01,Western Europe,Southern Africa,2021-06-13,Western Europe,Southern Africa
2021.46849,Portugal,Angola,1,Europe,Africa,2021-06-20,2021-06-01,Western Europe,Southern Africa,2021-06-13,Western Europe,Southern Africa
2021.47156,Namibia,Angola,1,Africa,Africa,2021-06-22,2021-06-01,Southern Africa,Southern Africa,2021-06-13,Southern Africa,Southern Africa
2021.47836,Namibia,Angola,1,Africa,Africa,2021-06-24,2021-06-01,Southern Africa,Southern Africa,2021-06-13,Southern Africa,Southern Africa
2021.47946,Republic of the Congo,Angola,1,,Africa,2021-06-25,2021-06-01,,Southern Africa,2021-06-13,,Southern Africa
2021.48453,Portugal,Angola,1,Europe,Africa,2021-06-26,2021-06-01,Western Europe,Southern Africa,2021-06-13,Western Europe,Southern Africa
2021.4849,Zambia,Angola,1,Africa,Africa,2021-06-26,2021-06-01,Southern Africa,Southern Africa,2021-06-13,Southern Africa,Southern Africa
2021.4875,Namibia,Angola,1,Africa,Africa,2021-06-27,2021-06-01,Southern Africa,Southern Africa,2021-06-27,Southern Africa,Southern Africa
2021.49041,South Africa,Angola,1,Africa,Africa,2021-06-28,2021-06-01,Southern Africa,Southern Africa,2021-06-27,Southern Africa,Southern Africa
2021.50084,South Africa,Angola,1,Africa,Africa,2021-07-02,2021-07-01,Southern Africa,Southern Africa,2021-06-27,Southern Africa,Southern Africa
2021.50138,Portugal,Angola,1,Europe,Africa,2021-07-03,2021-07-01,Western Europe,Southern Africa,2021-06-27,Western Europe,Southern Africa
2021.50358,Namibia,Angola,1,Africa,Africa,2021-07-03,2021-07-01,Southern Africa,Southern Africa,2021-06-27,Southern Africa,Southern Africa
2021.50686,Portugal,Angola,1,Europe,Africa,2021-07-05,2021-07-01,Western Europe,Southern Africa,2021-06-27,Western Europe,Southern Africa
2021.50687,South Africa,Angola,1,Africa,Africa,2021-07-05,2021-07-01,Southern Africa,Southern Africa,2021-06-27,Southern Africa,Southern Africa
2021.50687,Portugal,Angola,1,Europe,Africa,2021-07-05,2021-07-01,Western Europe,Southern Africa,2021-06-27,Western Europe,Southern Africa
2021.51233,Namibia,Angola,1,Africa,Africa,2021-07-07,2021-07-01,Southern Africa,Southern Africa,2021-06-27,Southern Africa,Southern Africa
